City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,saint-joseph,-21.3667,55.6167,18.21,76,33,3.31,RE,1691530358
84,kodiak,57.79,-152.4072,13.73,88,75,2.06,US,1691530358
85,kimbe,-5.5502,150.1429,26.61,70,84,4.83,PG,1691530358
86,holualoa,19.6228,-155.9522,28.91,62,0,6.17,US,1691530358
87,marat,25.0701,45.4615,30.85,7,1,3.63,SA,1691530359
88,ciudad choluteca,13.3003,-87.1908,34.79,41,95,2.36,HN,1691530359
89,chui,-33.6971,-53.4616,10.62,81,73,3.31,UY,1691530359
90,invercargill,-46.4,168.35,5.57,92,94,6.26,NZ,1691530359
91,eureka,40.8021,-124.1637,31.48,77,88,2.24,US,1691530088
92,almeria,37.1667,-2.3333,26.35,56,12,1.2,ES,1691530360
93,niamey,13.5137,2.1098,29.16,65,0,2.06,NE,1691530360
94,port saint john's,-31.6229,29.5448,18.26,72,92,4.54,ZA,1691530360
95,sai buri,6.7013,101.6168,26.65,87,99,1.58,TH,1691530361
96,batyrevo,55.0675,47.6111,17.31,65,0,2.33,RU,1691530361
97,dwarka,22.2394,68.9678,27.16,81,100,9.28,IN,1691530361
98,borda da mata,-22.2742,-46.1653,18.94,70,72,2.61,BR,1691530362
99,atafu village,-8.5421,-172.5159,28.66,69,90,5.4,TK,1691530362
100,vila velha,-20.3297,-40.2925,23.97,88,20,6.69,BR,1691530362
101,embrun,44.5639,6.4953,15.1,56,74,0.39,FR,1691530362
102,cabo san lucas,22.8909,-109.9124,37.56,41,20,7.72,MX,1691530155
103,enewetak,11.3474,162.3373,28.67,76,98,7.08,MH,1691530363
104,qaqortoq,60.7167,-46.0333,5.89,85,9,2.43,GL,1691530363
105,whitehorse,60.7161,-135.0538,17.43,67,75,5.66,CA,1691530364
106,bardai,11.65,7.2333,21.78,91,99,3.44,NG,1691530364
107,hailar,49.2,119.7,13.04,86,8,1.58,CN,1691530364
108,zhaozhou,45.6833,125.3167,17.98,96,92,3.2,CN,1691530365
109,at taj,24.2049,23.2857,28.81,31,0,4.93,LY,1691530365
110,olyokminsk,60.3736,120.4264,17.61,78,66,1.81,RU,1691530365
111,arraial do cabo,-22.9661,-42.0278,21.92,83,100,4.63,BR,1691530366
112,vadso,70.0744,29.7487,21.49,88,0,2.06,NO,1691530366
113,den helder,52.9599,4.7593,15.99,77,75,3.13,NL,1691530367
114,minas de marcona,-15.2119,-75.1103,15.56,71,3,5.97,PE,1691530367
115,yeppoon,-23.1333,150.7333,14.88,81,24,5.88,AU,1691530367
116,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,87,20,3.0,RU,1691530368
117,wiesenburg,52.1167,12.45,14.6,86,85,4.42,DE,1691530368
118,ash shihaniyah,25.3686,51.2264,34.79,24,0,1.3,QA,1691530368
119,zhob,31.3411,69.4481,27.93,39,0,0.99,PK,1691530369
120,tutoia,-2.7619,-42.2744,26.51,82,35,6.4,BR,1691530322
121,rongelap,11.1635,166.8941,28.38,74,45,6.49,MH,1691530369
122,saint-philippe,-21.3585,55.7679,18.77,78,37,3.28,RE,1691530369
123,paramonga,-10.6667,-77.8333,20.24,77,15,5.36,PE,1691530370
124,charters towers,-20.1,146.2667,15.59,69,28,2.74,AU,1691530370
125,burang,30.25,81.1667,11.84,75,98,1.89,CN,1691530370
126,port alfred,-33.5906,26.891,14.54,97,81,0.45,ZA,1691530370
127,san antonio de pale,-1.4014,5.6325,23.7,77,2,5.58,GQ,1691530371
128,crane,31.3974,-102.3501,39.39,18,96,2.76,US,1691530371
129,metlili chaamba,32.2667,3.6333,35.52,12,0,2.06,DZ,1691530371
130,sisimiut,66.9395,-53.6735,8.25,62,9,2.62,GL,1691530372
131,santa vitoria,-18.8386,-50.1214,27.53,27,0,1.03,BR,1691530372
132,lompoc,34.6391,-120.4579,25.47,72,75,3.09,US,1691530372
133,harper,4.375,-7.7169,24.47,88,99,6.18,LR,1691530373
134,afaahiti,-17.75,-149.2833,23.93,88,98,6.56,PF,1691530373
135,codrington,-38.2667,141.9667,7.2,78,26,6.59,AU,1691530373
136,bodo,67.28,14.405,21.92,71,20,6.71,NO,1691530373
137,klyuchi,52.2667,79.1667,18.37,46,42,0.72,RU,1691530374
138,carros,43.7894,7.184,19.84,70,75,1.03,FR,1691530374
139,hawaiian paradise park,19.5933,-154.9731,28.73,79,0,4.12,US,1691530374
140,charlottetown,46.2352,-63.1267,22.29,67,40,5.66,CA,1691530028
141,gedo,9.0167,37.45,10.94,98,100,1.06,ET,1691530375
142,lebu,-37.6167,-73.65,12.3,70,100,3.78,CL,1691530375
143,qarauyl,48.9451,79.255,18.2,76,99,2.5,KZ,1691530155
144,qina,26.1642,32.7267,35.24,26,0,6.28,EG,1691530375
145,camana,-16.6228,-72.7111,18.62,78,8,3.38,PE,1691530376
146,kununurra,-15.7667,128.7333,13.99,72,16,2.57,AU,1691530376
147,pakuranga,-36.8833,174.9167,14.0,72,75,4.63,NZ,1691530377
148,laguna,38.421,-121.4238,35.17,39,0,5.66,US,1691530377
149,howrah,22.5892,88.3103,27.0,94,75,1.54,IN,1691530377
150,puerto rosario,-24.45,-57.0833,24.94,62,100,3.44,PY,1691530377
151,anadyr,64.75,177.4833,10.28,81,75,8.0,RU,1691530378
152,ribeira grande,38.5167,-28.7,24.32,88,40,9.39,PT,1691530378
153,sao vicente,-23.9631,-46.3919,22.1,62,100,4.12,BR,1691530379
154,guerrero negro,27.9769,-114.0611,29.15,60,91,7.03,MX,1691530379
155,krasnokamensk,50.0979,118.0369,14.13,78,9,1.67,RU,1691530379
156,coquimbo,-29.9533,-71.3436,15.85,77,75,2.57,CL,1691530207
157,liboro,13.8245,122.7295,26.88,87,56,2.86,PH,1691530380
158,villa ojo de agua,-29.5,-63.6938,10.86,58,75,4.49,AR,1691530380
159,barkot,30.8167,78.2,21.32,95,100,0.85,IN,1691530380
160,itoman,26.1247,127.6694,27.43,91,75,5.66,JP,1691530381
161,griffith,41.5284,-87.4237,28.3,53,75,5.14,US,1691530381
162,agat village,13.3886,144.6585,27.52,94,75,1.54,GU,1691530381
163,pailin,12.849,102.6093,22.75,95,95,1.76,KH,1691530382
164,wailua homesteads,22.0669,-159.378,32.24,75,100,7.72,US,1691530382
165,merizo village,13.2658,144.6691,27.31,97,100,6.21,GU,1691530382
166,aykhal,66.0,111.5,17.0,62,11,2.62,RU,1691530383
